date,bet_type,home,away,team_abbrev,americanOdds,decimalOdds,stakePCT,wagerPCT,PLUS_MINUS,Total,spread,WIN-LOSS-PUSH
2023-10-24,SPREAD,DEN,LAL,LAL,-105.0,1.95,56.91,50.69,-12.0,226.0,4.5,0.0
2023-10-24,SPREAD,DEN,LAL,DEN,-115.0,1.87,43.09,49.31,12.0,226.0,-4.5,1.0
2023-10-24,SPREAD,GSW,PHX,PHX,-105.0,1.95,35.46,47.82,4.0,212.0,2.5,1.0
2023-10-24,SPREAD,GSW,PHX,GSW,-115.0,1.87,64.54,52.18,-4.0,212.0,-2.5,0.0
2023-10-25,SPREAD,IND,WAS,WAS,-110.0,1.91,71.09,71.37,-23.0,263.0,4.5,0.0
2023-10-25,SPREAD,IND,WAS,IND,-110.0,1.91,28.91,28.63,23.0,263.0,-4.5,1.0
2023-10-25,SPREAD,NYK,BOS,BOS,-115.0,1.87,69.34,45.29,4.0,212.0,-3.5,1.0
2023-10-25,SPREAD,NYK,BOS,NYK,-105.0,1.95,30.66,54.71,-4.0,212.0,3.5,0.0
2023-10-25,SPREAD,ORL,HOU,HOU,-110.0,1.91,67.56,68.41,-30.0,202.0,4.5,0.0
2023-10-25,SPREAD,ORL,HOU,ORL,-110.0,1.91,32.44,31.59,30.0,202.0,-4.5,1.0
2023-10-25,SPREAD,CHA,ATL,ATL,-105.0,1.95,65.83,60.69,-6.0,226.0,-4.5,0.0
2023-10-25,SPREAD,CHA,ATL,CHA,-115.0,1.87,34.17,39.31,6.0,226.0,4.5,1.0
2023-10-25,SPREAD,MIA,DET,DET,-110.0,1.91,30.81,58.59,-1.0,205.0,9.5,1.0
2023-10-25,SPREAD,MIA,DET,MIA,-110.0,1.91,69.19,41.41,1.0,205.0,-9.5,0.0
2023-10-25,SPREAD,BKN,CLE,CLE,-115.0,1.87,51.91,54.88,1.0,227.0,-1.5,0.0
2023-10-25,SPREAD,BKN,CLE,BKN,-105.0,1.95,48.09,45.12,-1.0,227.0,1.5,1.0
2023-10-25,SPREAD,TOR,MIN,MIN,-115.0,1.87,55.5,50.22,-3.0,191.0,1.5,0.0
2023-10-25,SPREAD,TOR,MIN,TOR,-105.0,1.95,44.5,49.78,3.0,191.0,-1.5,1.0
2023-10-25,SPREAD,CHI,OKC,OKC,-110.0,1.91,73.5,73.91,20.0,228.0,2.5,1.0
2023-10-25,SPREAD,CHI,OKC,CHI,-110.0,1.91,26.5,26.09,-20.0,228.0,-2.5,0.0
2023-10-25,SPREAD,MEM,NOP,NOP,-120.0,1.83,40.94,34.38,7.0,215.0,1.5,1.0
2023-10-25,SPREAD,MEM,NOP,MEM,100.0,2.0,59.06,65.62,-7.0,215.0,-1.5,0.0
2023-10-25,SPREAD,UTA,SAC,SAC,-110.0,1.91,53.45,49.44,16.0,244.0,-1.5,1.0
2023-10-25,SPREAD,UTA,SAC,UTA,-110.0,1.91,46.55,50.56,-16.0,244.0,1.5,0.0
2023-10-25,SPREAD,SAS,DAL,DAL,-115.0,1.87,36.05,43.13,7.0,245.0,-4.5,1.0
2023-10-25,SPREAD,SAS,DAL,SAS,-105.0,1.95,63.95,56.87,-7.0,245.0,4.5,0.0
2023-10-25,SPREAD,LAC,POR,POR,-105.0,1.95,37.76,41.26,-12.0,234.0,9.5,0.0
2023-10-25,SPREAD,LAC,POR,LAC,-115.0,1.87,62.24,58.74,12.0,234.0,-9.5,1.0
2023-10-26,SPREAD,MIL,PHI,PHI,-115.0,1.87,46.21,52.27,-1.0,235.0,6.5,1.0
